ENSMUSG00000102693.2	4933401J01Rik
ENSMUSG00000064842.3	Gm26206
ENSMUSG00000051951.6	Xkr4
ENSMUSG00000102851.2	Gm18956
ENSMUSG00000103377.2	Gm37180
ENSMUSG00000104017.2	Gm37363
ENSMUSG00000103025.2	Gm37686
ENSMUSG00000089699.3	Gm1992
ENSMUSG00000103201.2	Gm37329
ENSMUSG00000103147.2	Gm7341
ENSMUSG00000103161.2	Gm38148
ENSMUSG00000102331.2	Gm19938
ENSMUSG00000102348.2	Gm10568
ENSMUSG00000102592.2	Gm38385
ENSMUSG00000088333.4	Gm27396
ENSMUSG00000142494.1	ENSMUSG00000142494
ENSMUSG00000102343.2	Gm37381
ENSMUSG00000133908.1	ENSMUSG00000133908
ENSMUSG00000025900.14	Rp1
ENSMUSG00000102948.2	Gm6101
ENSMUSG00000104123.2	Gm37483
ENSMUSG00000135717.1	ENSMUSG00000135717
ENSMUSG00000139157.1	ENSMUSG00000139157
ENSMUSG00000025902.14	Sox17
ENSMUSG00000104238.3	Gm37587
ENSMUSG00000102269.2	Gm7357
ENSMUSG00000118917.1	Gm22307
ENSMUSG00000103003.2	Gm38076
ENSMUSG00000104328.3	Gm37323
ENSMUSG00000131850.1	ENSMUSG00000131850
ENSMUSG00000102735.2	Gm7369
ENSMUSG00000098104.2	Gm6085
ENSMUSG00000102175.2	Gm6119
ENSMUSG00000135930.1	ENSMUSG00000135930
ENSMUSG00002075947.1	Gm56275
ENSMUSG00000103265.2	Gm2053
ENSMUSG00000103922.2	Gm6123
ENSMUSG00000033845.14	Mrpl15
ENSMUSG00000102275.2	Gm37144
ENSMUSG00000120403.2	A930006A01Rik
ENSMUSG00000136002.1	ENSMUSG00000136002
ENSMUSG00000025903.15	Lypla1
ENSMUSG00000104217.2	Gm37988
ENSMUSG00000137875.1	ENSMUSG00000137875
ENSMUSG00000033813.16	Tcea1
ENSMUSG00000062588.5	Gm6104
ENSMUSG00000103280.2	Gm37277
ENSMUSG00000002459.18	Rgs20
ENSMUSG00000091305.2	Gm17100
ENSMUSG00000102653.2	Gm37079
ENSMUSG00000085623.2	Gm16041
ENSMUSG00000091665.2	Gm17101
ENSMUSG00000033793.13	Atp6v1h
ENSMUSG00000143188.1	ENSMUSG00000143188
ENSMUSG00000104352.2	Gm7182
ENSMUSG00000143351.1	ENSMUSG00000143351
ENSMUSG00000104046.2	Gm37567
ENSMUSG00000102907.2	Gm38264
ENSMUSG00000025905.15	Oprk1
ENSMUSG00000103936.2	Gm36965
ENSMUSG00002076544.1	Gm56304
ENSMUSG00000103519.2	Gm37429
ENSMUSG00000033774.5	Npbwr1
ENSMUSG00000103090.2	Gm19214
ENSMUSG00000090031.5	4732440D04Rik
ENSMUSG00000025907.15	Rb1cc1
ENSMUSG00000087247.4	Alkal1
ENSMUSG00000143943.1	ENSMUSG00000143943
ENSMUSG00000103355.2	Gm2147
ENSMUSG00000102706.2	Gm7417
ENSMUSG00000141243.1	ENSMUSG00000141243
ENSMUSG00000103845.2	Gm19026
ENSMUSG00000033740.18	St18
ENSMUSG00000103329.3	Gm42492
ENSMUSG00000104385.2	Gm7449
ENSMUSG00000102135.2	Gm37108
ENSMUSG00000103282.2	Gm37275
ENSMUSG00000102534.2	Gm37225
ENSMUSG00000102213.2	Gm37489
ENSMUSG00000103629.2	Gm5694
ENSMUSG00000120372.2	Gm57122
ENSMUSG00000051285.18	Pcmtd1
ENSMUSG00000138092.1	ENSMUSG00000138092
ENSMUSG00000098201.2	Gm26983
ENSMUSG00000103509.2	Gm38372
ENSMUSG00000126455.1	ENSMUSG00000126455
ENSMUSG00000048538.8	Gm9826
ENSMUSG00000103709.2	Nras-ps2
ENSMUSG00000126493.1	ENSMUSG00000126493
ENSMUSG00000077244.3	Gm23274
ENSMUSG00000097797.8	Gm26901
ENSMUSG00000102768.2	Gm19002
ENSMUSG00000103498.2	Gm18984
ENSMUSG00000103067.2	Gm30414
ENSMUSG00000102320.2	Gm37791
ENSMUSG00000104226.2	Gm7470
ENSMUSG00000103903.2	Rps2-ps2
ENSMUSG00000103557.2	Gm38216
ENSMUSG00000132588.1	ENSMUSG00000132588
ENSMUSG00000135709.1	ENSMUSG00000135709
ENSMUSG00000135722.1	ENSMUSG00000135722
ENSMUSG00000025909.17	Sntg1
ENSMUSG00000102647.2	Gm38024
ENSMUSG00000086235.2	Gm16284
ENSMUSG00000123533.1	ENSMUSG00000123533
ENSMUSG00000102253.2	Gm38259
ENSMUSG00002074990.1	Gm54704
ENSMUSG00000103884.2	Gm37005
ENSMUSG00000084353.2	Gm15452
ENSMUSG00000103933.2	Gm36964
ENSMUSG00002075967.1	Gm54706
ENSMUSG00000086195.2	Gm6152
ENSMUSG00000104504.2	Gm7445
ENSMUSG00000123491.1	ENSMUSG00000123491
ENSMUSG00000066693.3	Gm7493
ENSMUSG00000102316.2	Gm37629
ENSMUSG00000103819.2	Gm38008
ENSMUSG00000102871.2	Gm37143
ENSMUSG00000101571.3	Gm6187
ENSMUSG00000135814.1	ENSMUSG00000135814
ENSMUSG00000104428.2	Gm18299
ENSMUSG00000102272.2	Gm7512
ENSMUSG00000065625.3	Gm24765
ENSMUSG00000079671.11	2610203C22Rik
ENSMUSG00000103411.2	Gm18300
ENSMUSG00000061024.9	Rrs1
ENSMUSG00000025911.15	Adhfe1
ENSMUSG00000081441.4	Gm6161
ENSMUSG00000067879.4	Vxn
ENSMUSG00000099827.2	Gm29520
ENSMUSG00000025912.17	Mybl1
ENSMUSG00000123215.1	ENSMUSG00000123215
ENSMUSG00000045210.9	Vcpip1
ENSMUSG00000097893.11	1700034P13Rik
ENSMUSG00000128816.1	ENSMUSG00000128816
ENSMUSG00000025915.15	Sgk3
ENSMUSG00000046334.5	Gm6195
ENSMUSG00002075801.1	Gm54812
